date,KORFBEV,KORWHLS,KORMCMP,KORELEC,KORCNST,KORMACH,KOROCOINF,KOEMPTOTO,KOHWRWEMP,KOWRCDURE,KOCONPRCF,KOEQUIPTE,KOWRCCNSE,KOIMPCONA
1986-10-03,-0.030241569,0.0,-0.012791594,0.0,0.036530042,0.0,,,,,,,,
1986-10-10,-0.028881121,0.0,-0.034496186,-0.1,0.044968524,0.0,,,,,,,,
1986-10-17,-0.063965282,-0.1,-0.115617348,-0.1,-0.058196009,-0.1,,,,,,,,
1986-10-24,-0.075722903,-0.2,-0.15279273,-0.2,-0.129369309,-0.2,,,,,,,,
1986-10-31,-0.043400039,0.0,-0.070685049,-0.1,-0.078744521,-0.1,0.573067471,1.162784159,34.60858493,,-0.984582946,,,
1986-11-07,0.000485,0.1,-0.010476453,0.0,-0.037057294,0.0,,,,,,,,
1986-11-14,0.009308117,0.1,0.029303482,0.0,-0.017645335,0.1,,,,,,,,
1986-11-21,0.066837088,0.2,0.134181846,0.2,0.082154552,0.2,,,,,,,,
1986-11-28,0.056763291,0.1,0.126490339,0.1,0.068149117,0.2,,,,,,,,
1986-11-30,,,,,,,0.569802111,1.56595565,0.835577271,,-0.165043774,,,
1986-12-05,0.030882565,0.0,0.090218977,0.1,0.032002544,0.1,,,,,,,,
1986-12-12,0.017131074,0.0,0.075579521,0.1,0.016973696,0.0,,,,,,,,
1986-12-19,0.00869215,0.0,0.052743083,0.1,-0.018672648,0.0,,,,,,,,
1986-12-26,0.003876342,-0.1,0.030153804,0.0,-0.040575883,-0.1,,,,,,,,
1986-12-31,,,,,,,0.566573754,-0.694629825,-0.386385302,,0.0,,,
1987-01-02,0.008963303,-0.1,0.02188598,0.0,-0.028446754,-0.1,,,,,,,,
1987-01-09,0.007326172,-0.1,-0.004940079,0.1,-0.141367691,0.0,,,,,,,,
1987-01-16,0.092389279,-0.1,0.063903317,0.2,-0.199669056,0.0,,,,,,,,
1987-01-23,0.098139456,-0.1,0.05677131,0.1,-0.141402308,0.0,,,,,,,,
1987-01-30,0.22336249,0.0,0.098559864,0.2,-0.121850718,0.0,,,,,,,,
1987-01-31,,,,,,,0.563381772,-0.841990045,0.091192287,,0.362737413,,,
1987-02-06,0.287006688,0.1,0.131344034,0.1,-0.026066363,0.0,,,,,,,,
1987-02-13,0.235904197,0.1,0.091321774,0.0,0.139264367,0.1,,,,,,,,
1987-02-20,0.213831863,0.1,0.06399716,0.0,0.150143648,0.0,,,,,,,,
1987-02-27,0.190645585,0.1,0.077421061,0.0,0.147651364,0.1,,,,,,,,
1987-02-28,,,,,,,1.11733006,3.96973396,-0.327639854,,0.197303583,,,
1987-03-06,0.161692628,0.1,0.101278547,0.0,0.11147791,0.1,,,,,,,,
1987-03-13,0.163151657,0.0,0.088929327,0.0,0.107232129,0.0,,,,,,,,
1987-03-20,0.244700228,0.1,0.133057178,0.0,0.195377405,0.1,,,,,,,,
1987-03-27,0.201764487,0.1,0.169220687,0.1,0.241208973,0.1,,,,,,,,
1987-03-31,,,,,,,1.104983619,-0.905125802,-0.24436348,,0.785344351,,,
1987-04-03,0.120994784,0.1,0.084689406,0.1,0.268144792,0.0,,,,,,,,
1987-04-10,0.061253325,0.1,0.029175506,0.0,0.172756243,0.0,,,,,,,,
1987-04-17,-0.043590462,0.0,-0.018580001,0.0,0.069663534,-0.1,,,,,,,,
1987-04-24,-0.078141028,-0.1,-0.077814219,-0.1,0.006085018,-0.1,,,,,,,,
1987-04-30,,,,,,,1.092907053,-0.35704377,0.63175132,,0.584987044,,,
1987-05-01,-0.052327442,0.0,-0.07930321,-0.1,-0.039476038,-0.1,,,,,,,,
1987-05-08,0.037482208,0.0,0.007745181,0.0,0.002490398,0.0,,,,,,,,
1987-05-15,0.091288497,0.1,0.040919886,0.0,0.106945611,0.0,,,,,,,,
1987-05-22,0.104990349,0.1,0.069487247,0.0,0.20727437,0.1,,,,,,,,
1987-05-29,0.043252557,0.1,0.04107842,0.0,0.201649617,0.1,,,,,,,,
1987-05-31,,,,,,,1.617285925,0.18775924,0.028734754,,1.511525803,,,
1987-06-05,-0.006863374,0.1,0.014266788,0.0,0.20486179,0.0,,,,,,,,
1987-06-12,-0.045065106,0.1,0.004780247,0.0,0.219337428,0.0,,,,,,,,
1987-06-19,-0.080413264,0.0,-0.031050587,0.0,0.062235499,0.0,,,,,,,,
1987-06-26,-0.04906884,0.0,-0.014535031,0.0,-0.001805121,0.0,,,,,,,,
1987-06-30,,,,,,,1.063839821,0.469086634,1.210031476,,-0.095800742,,,
1987-07-03,0.031394293,0.0,0.062869471,0.1,0.07204045,0.1,,,,,,,,
1987-07-10,0.066707453,0.1,0.102479739,0.1,0.223411073,0.2,,,,,,,,
1987-07-17,0.097101897,0.1,0.134722158,0.2,0.208002826,0.2,,,,,,,,
1987-07-24,0.096556343,0.1,0.136613829,0.2,0.201788783,0.2,,,,,,,,
1987-07-31,0.0886897,0.2,0.105146223,0.1,0.288820985,0.2,1.052641299,0.064419498,-1.458660623,,-0.287954126,,,
1987-08-07,0.027304149,0.1,0.017131594,0.0,0.156914144,0.0,,,,,,,,
1987-08-14,-0.028476323,0.1,-0.027001349,-0.1,0.158473703,0.0,,,,,,,,
1987-08-21,-0.063312201,0.0,-0.038698578,-0.1,0.246047706,0.0,,,,,,,,
1987-08-28,-0.064017882,-0.1,-0.075923016,-0.1,0.062473054,-0.1,,,,,,,,
1987-08-31,,,,,,,-0.524935589,0.322269721,-2.182160997,,1.399959231,,,
1987-09-04,-0.117213979,-0.1,-0.089025019,-0.1,0.013144815,-0.1,,,,,,,,
1987-09-11,-0.081022138,-0.1,-0.055511286,-0.1,0.024476954,-0.1,,,,,,,,
1987-09-18,-0.063361148,0.0,-0.052488759,-0.1,-0.040943221,-0.1,,,,,,,,
1987-09-25,-0.030171313,0.0,-0.034676139,-0.1,-0.054256244,0.0,,,,,,,,
1987-09-30,,,,,,,0.0,0.852386546,4.195364201,,0.661315589,,,
1987-10-02,-0.00581,0.1,0.018014086,0.0,-0.000695,0.0,,,,,,,,
1987-10-09,0.024162276,0.1,0.055110515,0.0,-0.02330833,0.1,,,,,,,,
1987-10-16,0.064134838,0.1,0.064529243,0.0,-0.06229951,0.0,,,,,,,,
1987-10-23,0.035501333,0.1,0.053126716,0.0,-0.014452165,0.0,,,,,,,,
1987-10-30,-0.001981952,0.0,0.009995647,0.0,-0.005919414,0.0,,,,,,,,
1987-10-31,,,,,,,1.047129987,-0.173424239,-1.566542509,,0.094117654,,,
1987-11-06,-0.025823485,-0.1,-0.051363714,-0.1,-0.076102262,-0.1,,,,,,,,
1987-11-13,-0.079409001,-0.2,-0.12633579,-0.2,-0.158564891,-0.2,,,,,,,,
1987-11-20,-0.047061751,-0.1,-0.081129524,-0.1,-0.213133564,-0.1,,,,,,,,
1987-11-27,0.005952167,-0.1,-0.073354415,-0.1,-0.244394088,0.0,,,,,,,,
1987-11-30,,,,,,,1.550418654,0.487594241,0.522787312,,-0.188323973,,,
1987-12-04,0.064939552,0.0,-0.005261664,0.0,-0.068550692,0.0,,,,,,,,
1987-12-11,0.123359638,0.0,0.056650359,0.0,-0.067203863,0.0,,,,,,,,
1987-12-18,0.16653254,0.1,0.101059557,0.1,0.08131717,0.1,,,,,,,,
1987-12-25,0.128055617,0.2,0.107497277,0.1,0.223039781,0.1,,,,,,,,
1987-12-31,,,,,,,1.526747213,0.896949926,-2.292207971,,0.844678884,,,
1988-01-01,0.097237767,0.2,0.099404418,0.1,0.175246073,0.1,,,,,,,,
1988-01-08,0.137344142,0.3,0.080271865,0.0,0.32585341,0.1,,,,,,,,
1988-01-15,0.079251468,0.3,0.091188317,0.1,0.417158653,0.2,,,,,,,,
1988-01-22,0.044204437,0.2,0.051462283,0.1,0.297855983,0.1,,,,,,,,
1988-01-29,0.060087434,0.4,0.092799671,0.1,0.337695633,0.2,,,,,,,,
1988-01-31,,,,,,,0.503779403,0.370499177,1.827088164,,0.528197593,,,
1988-02-05,-0.040927982,0.3,0.035463401,0.1,0.348248123,0.2,,,,,,,,
1988-02-12,-0.014001647,0.2,0.044751358,0.1,0.247197172,0.2,,,,,,,,
1988-02-19,0.046244459,0.3,0.090062461,0.1,0.228497753,0.2,,,,,,,,
1988-02-26,-0.009110759,0.1,0.021835872,0.0,0.138091309,0.1,,,,,,,,
1988-02-29,,,,,,,1.000008333,-0.16133549,0.881159692,,1.659534091,,,
1988-03-04,0.006408177,-0.1,0.004779397,0.0,-0.063350016,0.0,,,,,,,,
1988-03-11,0.00228704,-0.1,0.001943908,0.0,-0.081077916,-0.1,,,,,,,,
1988-03-18,-0.051074389,-0.1,-0.040146245,0.0,-0.114259502,-0.1,,,,,,,,
1988-03-25,-0.060620182,-0.1,-0.038205908,0.0,-0.106009236,-0.1,,,,,,,,
1988-03-31,,,,,,,0.0,-0.265186081,-0.501488718,,1.422326898,,,
1988-04-01,-0.007389607,0.0,0.042174382,0.1,0.026081358,0.0,,,,,,,,
1988-04-08,0.00915,0.0,0.080060055,0.2,-0.000886,0.1,,,,,,,,
1988-04-15,0.005388752,0.0,0.054542252,0.1,-0.007548218,0.0,,,,,,,,
1988-04-22,-0.005127286,-0.1,0.058409853,0.1,-0.06928265,0.1,,,,,,,,
1988-04-29,0.005247995,0.0,0.035990113,0.1,-0.004772769,0.0,,,,,,,,
1988-04-30,,,,,,,0.0,-0.330074426,0.068397576,,-0.180451177,,,
1988-05-06,-0.004576074,0.0,0.003686846,0.0,0.013370745,0.0,,,,,,,,
1988-05-13,-0.00657245,0.1,0.014508961,0.0,0.110217306,0.1,,,,,,,,
1988-05-20,0.050209691,0.2,0.077697546,0.1,0.197151239,0.2,,,,,,,,
1988-05-27,0.068665101,0.2,0.080756275,0.0,0.235368333,0.2,,,,,,,,
1988-05-31,,,,,,,0.0,0.155108927,0.290919055,,0.54037958,,,
1988-06-03,0.096050516,0.1,0.121020962,0.1,0.142722976,0.2,,,,,,,,
1988-06-10,0.081312487,0.1,0.118493828,0.1,0.089949425,0.2,,,,,,,,
1988-06-17,0.042988017,0.0,0.059413675,0.1,-0.009888745,0.1,,,,,,,,
1988-06-24,0.00015,-0.1,0.001278916,0.0,-0.062024412,0.1,,,,,,,,
1988-06-30,,,,,,,0.496278934,0.353267128,1.00698359,,0.597016699,,,
1988-07-01,-0.033888974,-0.1,-0.015643106,0.0,-0.042734648,0.0,,,,,,,,
1988-07-08,-0.048913336,0.0,-0.043627762,0.0,-0.015121621,0.0,,,,,,,,
1988-07-15,-0.048169344,0.0,-0.04942802,-0.1,-0.018509465,0.0,,,,,,,,
1988-07-22,-0.05523449,0.1,-0.031156626,0.0,0.116632839,0.0,,,,,,,,
1988-07-29,-0.050608264,0.2,-0.005429119,0.0,0.261654887,0.0,,,,,,,,
1988-07-31,,,,,,,0.493828164,-0.974006211,-0.452008979,,0.178412179,,,
1988-08-05,-0.067950601,0.1,-0.051605416,-0.1,0.205456386,0.0,,,,,,,,
1988-08-12,-0.044066259,0.2,-0.028400406,0.0,0.323326415,0.0,,,,,,,,
1988-08-19,-0.042611152,0.2,-0.024725705,0.0,0.257071143,0.0,,,,,,,,
1988-08-26,-0.059576614,0.0,-0.07039603,-0.1,0.100620711,0.0,,,,,,,,
1988-08-31,,,,,,,0.98040001,2.248961456,-0.44371881,,0.533334598,,,
1988-09-02,-0.056098778,-0.1,-0.052475825,-0.1,-0.056545026,0.0,,,,,,,,
1988-09-09,-0.042020436,-0.1,-0.012922928,0.0,-0.050020352,0.0,,,,,,,,
1988-09-16,-0.035307445,-0.1,-0.01591327,0.0,-0.14809667,0.0,,,,,,,,
1988-09-23,-0.013433464,0.0,0.010882095,0.1,-0.128729805,0.0,,,,,,,,
1988-09-30,-0.005841749,0.0,0.027451795,0.1,-0.082928476,0.1,0.970881413,1.152564568,-1.121054193,,0.265604406,,,
1988-10-07,-0.00925,0.0,0.000792,0.0,0.0105,0.0,,,,,,,,
